gvkey,fyear,conm,act,at,dlc,ebit,ni,re,wcap,survive,niat,cr,wcat,ebitaat,reat,niat_s,cr_s,wcat_s,reat_s,ebitaat_s
3505,2009,MOLSON COORS BEVERAGE CO,1762.8,12021.1,300.3,404.7,720.4,2755.6,181.9,1,0.059928,5.87013,0.0151317,0.0336658,0.2292303,0.073098,-0.087569,0.0362615,0.0512445,0.0777265
3532,2009,CORNING INC,5521,21295,74,619,2008,3235,3982,1,0.0942944,74.60811,0.1869923,0.0290679,0.1519136,0.0746923,-0.064858,0.0374374,0.0511552,0.0773976
3533,2009,CORNING NATURAL GAS HLDG CP,5.724,38.997,8.676,1.663,0.672,-1.674,-6.958,1,0.0172321,0.6597511,-0.178424,0.0426443,-0.0429264,0.0711174,-0.0892905,0.0349371,0.0509301,0.0783687
3552,2009,TRUE VALUE CO,499.56,666.845,30.421,69.566,65.446,-56.704,174.712,1,0.0981428,16.42155,0.2619979,0.1043211,-0.0850333,0.0748708,-0.0840828,0.0379506,0.0508814,0.0827801
3570,2009,CRACKER BARREL OLD CTRY STOR,198.325,1245.181,7.422,142.239,65.926,122.423,-66.637,1,0.0529449,26.72123,-0.0535159,0.1142316,0.0983174,0.0727741,-0.0806798,0.0357918,0.0510933,0.0834889
3580,2009,CRANE CO,1046.346,2712.898,1.078,189.389,133.856,1027.968,579.564,1,0.0493406,970.6364,0.2136328,0.0698106,0.3789188,0.0726069,0.2311898,0.0376197,0.0514174,0.0803117
3581,2009,CRAWFORD & CO,325.715,742.905,8.221,46.419,-115.683,-24.94,66.717,1,-0.1557171,39.61988,0.0898056,0.0624831,-0.0335709,0.0630944,-0.0764181,0.0367724,0.0509409,0.0797876
3619,2009,CROWN HOLDINGS INC,2242,6532,59,812,334,-2349,317,1,0.0511329,38,0.0485303,0.1243111,-0.3596142,0.07269,-0.0769533,0.03649,0.0505642,0.0842099
3622,2009,CROWN CRAFTS INC,31.474,41.392,1.952,9.427,4.78,-10.033,20.817,1,0.1154813,16.12398,0.5029233,0.2277493,-0.2423898,0.0756751,-0.0841811,0.0395992,0.0506996,0.0916082
3647,2009,CULP INC,69.841,112.598,0.196,16.03,13.188,12.936,36.639,1,0.1171246,356.3317,0.3253965,0.1423649,0.1148866,0.0757514,0.0282235,0.0383845,0.0511124,0.0855012
3650,2009,CUMMINS INC,5003,8816,67,562,428,2680,2571,1,0.0485481,74.67164,0.2916289,0.0637477,0.3039927,0.0725701,-0.064837,0.0381534,0.0513309,0.0798781
3662,2009,CURTISS-WRIGHT CORP,837.501,2142.041,80.981,174.919,95.221,960.985,313.182,1,0.0444534,10.34194,0.1462073,0.08166,0.4486305,0.0723802,-0.0860915,0.0371584,0.051498,0.0811593
3691,2009,GT BIOPHARMA INC,1.293,1.384,2.125,-1.156,-2.246,-77.1,-5.566,1,-1.622832,0.6084706,-4.021677,-0.8352602,-55.7081,-0.004964,-0.0893074,0.0086397,-0.0133808,0.0155768
3708,2009,WENDY'S CO,878.992,4975.416,22.127,215.887,5.062,-386.165,403.845,1,0.0010174,39.72486,0.0811681,0.0433907,-0.0776146,0.0703652,-0.0763834,0.0367133,0.05089,0.0784221
3734,2009,DANA INC,2582,5064,34,-141,-431,-1673,1426,1,-0.0851106,75.94118,0.2815956,-0.0278436,-0.3303713,0.0663698,-0.0644175,0.0380847,0.050598,0.073327
3735,2009,DANAHER CORP,5220.628,19595.42,44.186,1732.887,1151.704,9552.086,2459.668,1,0.0587741,118.1512,0.1255226,0.0884333,0.4874652,0.0730445,-0.0504713,0.0370168,0.0515428,0.0816437
3761,2009,DATA I/O CORP,23.215,25.136,0.132,-0.656,-0.811,-1.26,18.736,1,-0.0322645,175.8712,0.7453851,-0.026098,-0.0501273,0.0688213,-0.0314006,0.0412582,0.0509218,0.0734519
3801,2009,DAVEY TREE EXPERT CO,97.818,266.072,8.177,27.188,14.377,161.522,16.306,1,0.0540342,11.96258,0.0612842,0.1021829,0.6070613,0.0728246,-0.085556,0.0365773,0.051681,0.0826271
3807,2009,DAXOR CORP,70.977,75.187,0.043,-5.109,5.823,48.258,43.762,1,0.0774469,1650.628,0.5820422,-0.0679506,0.6418397,0.0739107,0.455859,0.0401405,0.0517212,0.0704584
3813,2009,TARGET CORP,18424,44533,1696,4673,2488,12366,7097,1,0.0558687,10.86321,0.159365,0.1049334,0.2776817,0.0729097,-0.0859193,0.0372484,0.0513005,0.0828239
3814,2009,DPL INC,497,3641.7,100.6,428.2,229.1,1118,182.1,1,0.0629102,4.940358,0.0500041,0.1175825,0.3069995,0.0732364,-0.0878762,0.0365001,0.0513344,0.0837286
3820,2009,VIEWTRAN GROUP INC,233.529,281.505,17.492,10.694,11.753,72.822,182.196,1,0.0417506,13.35062,0.6472211,0.0379887,0.2586881,0.0722548,-0.0850974,0.0405865,0.0512785,0.0780357
3851,2009,DELTA AIR LINES INC,7741,43539,1533,83,-1237,-13408,-2056,1,-0.0284113,5.049576,-0.047222,0.0019063,-0.3079538,0.0690001,-0.0878401,0.0358348,0.0506239,0.0754549
3863,2009,DELUXE CORP,159.499,1211.21,26,227.475,99.365,7.95,-83.549,1,0.0820378,6.134577,-0.0689798,0.1878081,0.0065637,0.0741237,-0.0874816,0.0356859,0.0509873,0.0887515
3897,2009,DTE ENERGY CO,2877,24195,998,1249,532,3021,232,1,0.021988,2.882766,0.0095888,0.0516222,0.1248605,0.071338,-0.088556,0.0362235,0.0511239,0.0790108
3905,2009,ADTALEM GLOBAL EDUCATION INC,385.446,1434.299,104.811,245.21,165.613,798.834,-6.571,1,0.1154662,3.677534,-0.0045813,0.1709616,0.5569508,0.0756744,-0.0882934,0.0361266,0.0516231,0.0875465
3937,2009,PYXUS INTERNATIONAL INC,1382.952,1911.199,189.438,241.074,79.167,-70.571,795.229,1,0.0414227,7.300288,0.4160891,0.1261376,-0.036925,0.0722396,-0.0870965,0.039005,0.050937,0.0843405
3946,2009,DIEBOLD NIXDORF INC,1588.085,2554.865,16.915,168.439,26.026,1070.727,844.994,1,0.0101868,93.88618,0.3307392,0.0659287,0.4190934,0.0707906,-0.0584885,0.038421,0.0514639,0.0800341
3962,2009,NORTECH SYSTEMS INC,31.885,41.129,6.505,-4.516,-3.835,2.796,13.216,1,-0.0932432,4.901614,0.3213304,-0.1098009,0.0679812,0.0659925,-0.087889,0.0383566,0.0510582,0.0674651
3964,2009,DILLARDS INC  -CL A,1749.529,4606.327,3.494,152.705,68.531,2462.149,980.507,1,0.0148776,500.7238,0.2128609,0.0331511,0.5345145,0.0710082,0.0759307,0.0376144,0.0515972,0.0776897
3969,2009,DIODES INC,750.619,1021.898,300.07,22.389,7.513,199.863,354.309,1,0.007352,2.50148,0.3467166,0.0219092,0.1955802,0.0706591,-0.088682,0.0385303,0.0512056,0.0768856
3980,2009,DISNEY (WALT) CO,11889,63117,1206,5697,3307,29389,2955,1,0.0523948,9.858209,0.0468178,0.0902609,0.4656273,0.0727486,-0.0862513,0.0364783,0.0515176,0.0817744
4001,2009,DIXIE GROUP INC,86.045,179.056,10.013,-8.253,-42.098,-60.934,52.866,1,-0.2351108,8.593328,0.2952484,-0.0460917,-0.3403069,0.0594114,-0.0866692,0.0381782,0.0505865,0.0720219
4016,2009,DOLLAR GENERAL CORP,1845.449,8863.519,3.671,1012.058,339.442,168.908,638.949,1,0.0382965,502.7101,0.0720875,0.1141824,0.0190565,0.0720946,0.076587,0.0366512,0.0510017,0.0834854
4019,2009,WESTERN FOREST PRODUCTS INC,159.2,576,60.5,-64.3,-75.3,-324.8,37.4,1,-0.1307292,2.631405,0.0649306,-0.111632,-0.5638888,0.0642536,-0.0886391,0.0366022,0.0503282,0.0673341
4029,2009,DOMINION ENERGY INC,6817,42554,2432,2981,1287,4475,-16,1,0.0302439,2.803043,-0.000376,0.0700522,0.1051605,0.071721,-0.0885824,0.0361554,0.0511012,0.080329
4036,2009,DONALDSON CO INC,676.767,1333.996,35.054,193.855,131.907,606.14,376.683,1,0.0988811,19.30641,0.2823719,0.145319,0.4543792,0.0749051,-0.0831296,0.0380901,0.0515046,0.0857124
4040,2009,DONNELLEY (R R) & SONS CO,2960.9,8747.6,339.9,728.6,-27.3,117.9,921.2,1,-0.0031209,8.711091,0.1053089,0.0832914,0.013478,0.0701733,-0.0866303,0.0368785,0.0509952,0.0812759
4052,2009,ESCALERA RESOURCES CO,17.047,150.494,0.533,4.397,1.209,1.975,-4.067,1,0.0080335,31.98312,-0.0270243,0.0292171,0.0131234,0.0706907,-0.0789413,0.035973,0.0509948,0.0774083
4058,2009,DOVER CORP,2522.707,7882.403,35.624,660.145,356.438,5537.864,1553.531,1,0.0452195,70.81482,0.1970885,0.0837492,0.7025604,0.0724157,-0.0661113,0.0375065,0.0517913,0.0813087
4060,2009,DUPONT DE NEMOURS INC,19560,65937,3221,1614,648,12812,6454,1,0.0098276,6.072648,0.0978813,0.0244779,0.1943067,0.0707739,-0.0875021,0.0368277,0.0512042,0.0770693
4066,2009,OMNICOM GROUP,8788.5,17920.7,55.8,1375.7,793,6457.4,-1294,1,0.0442505,157.5,-0.072207,0.076766,0.3603319,0.0723708,-0.0374705,0.0356639,0.051396,0.0808092
4072,2009,ASCENA RETAIL GROUP INC,565.614,1131.821,116.347,110.579,69.688,497.278,204.496,1,0.0615716,4.861441,0.1806787,0.0977001,0.439361,0.0731743,-0.0879023,0.0373942,0.0514873,0.0823065
4091,2009,DUCOMMUN INC,164.091,353.909,4.963,29.218,10.183,177.206,85.825,1,0.0287729,33.06287,0.2425058,0.0825579,0.5007106,0.0716528,-0.0785845,0.0378173,0.0515581,0.0812235
4093,2009,DUKE ENERGY CORP,5766,57040,902,2713,1075,1088,1678,1,0.0188464,6.392461,0.029418,0.0475631,0.0190743,0.0711923,-0.0873964,0.0363592,0.0510017,0.0787205
4094,2009,DUN & BRADSTREET HOLDNGS INC,759.6,1749.4,1.7,490.1,319.4,1141.7,-99.5,1,0.1825769,446.8235,-0.0568766,0.2801532,0.6526237,0.0787876,0.058122,0.0357688,0.0517337,0.0953564
4108,2009,FLOWSERVE CORP,2499.322,4248.894,27.355,684.88,427.887,1377.746,1041.239,1,0.1007055,91.36619,0.2450612,0.1611902,0.3242599,0.0749897,-0.0593211,0.0378348,0.0513543,0.0868476
4115,2009,DYCOM INDUSTRIES INC,327.207,693.457,0.926,47.848,-53.18,205.512,217.177,1,-0.0766882,353.3553,0.3131802,0.0689992,0.2963587,0.0667605,0.0272401,0.0383009,0.0513221,0.0802537
4124,2009,DYNATRONICS CORP,12.003,17.087,4.926,0.707,0.103,-1.497,4.217,1,0.006028,2.436663,0.2467958,0.0413765,-0.0876105,0.0705977,-0.0887034,0.0378466,0.0508785,0.078278
4130,2009,DYNASIL CORP OF AMERICA,10.127,31.223,1.75,2.843,1.551,3.094,5.776,1,0.0496749,5.786857,0.1849918,0.0910547,0.0990936,0.0726224,-0.0875965,0.0374237,0.0510942,0.0818312
4145,2009,PERKINELMER INC,883.79,3064.242,0.146,167.844,85.599,1261.335,387.72,1,0.0279348,6053.356,0.1265305,0.054775,0.4116303,0.0716139,1.910521,0.0370237,0.0514552,0.0792363
4186,2009,EASTERN CO,59.761,100.872,7.143,3.579,1.036,58.736,44.28,1,0.0102704,8.366373,0.4389721,0.0354806,0.5822825,0.0707945,-0.0867442,0.0391616,0.0516524,0.0778563
4194,2009,EASTMAN KODAK CO,4303,7691,62,140,-210,3916,1407,1,-0.0273046,69.40323,0.1829411,0.0182031,0.5091665,0.0690514,-0.0665777,0.0374097,0.0515679,0.0766205
4199,2009,EATON CORP PLC,4524,16282,118,444,383,2758,1835,1,0.0235229,38.33898,0.1127011,0.0272694,0.1693895,0.0714092,-0.0768413,0.0369291,0.0511754,0.077269
4213,2009,ECOLAB INC,1814.2,5020.9,98.5,761,417.3,2665.2,564,1,0.0831126,18.41827,0.1123305,0.1515665,0.5308211,0.0741736,-0.0834231,0.0369266,0.0515929,0.0861593
4225,2009,EDUCATIONAL DEVELOPMENT CORP,16.321,19.36,0.075,2.927,1.914,17.392,12.458,1,0.0988636,217.6133,0.6434917,0.151188,0.8983471,0.0749042,-0.017609,0.040561,0.0520175,0.0861322
4241,2009,EL PASO ELECTRIC CO,251.567,2226.152,41.72,133.165,66.933,660.368,79.791,1,0.0300667,6.02989,0.0358426,0.0598185,0.296641,0.0717128,-0.0875162,0.0364032,0.0513224,0.079597
4292,2009,ELECTR TELE-COMMUNCTN,0.513,0.534,0.16,-0.324,-0.347,-3.99,-0.599,1,-0.6498128,3.20625,-1.121723,-0.6067416,-7.47191,0.0401737,-0.0884491,0.0284826,0.0423472,0.0319216
4311,2009,ELRON ELECTRONIC INDS LTD,73.864,213.08,12.037,-46.979,-14.304,-73.432,47.927,1,-0.0671297,6.136413,0.2249249,-0.2204759,-0.3446217,0.0672039,-0.087481,0.037697,0.0505815,0.0595491
4321,2009,EMERSON ELECTRIC CO,7653,19763,577,3059,1724,14218,2697,1,0.0872337,13.26343,0.1364671,0.1547842,0.7194252,0.0743647,-0.0851262,0.0370917,0.0518108,0.0863894
4322,2009,EMERSON RADIO CORP,51.51,69.256,5.659,13.765,11.315,-37.058,23.916,1,0.1633793,9.102315,0.3453275,0.1987554,-0.5350872,0.0778971,-0.0865011,0.0385208,0.0503615,0.0895345
4367,2009,WEATHERFORD INTL PLC,6140.606,18866.18,869.581,783.348,253.766,4931.843,3343.718,1,0.0134508,7.061569,0.1772334,0.0415213,0.2614118,0.070942,-0.0871753,0.0373706,0.0512817,0.0782883
4383,2009,ATMOS ENERGY CORP,828.94,6343.766,72.681,447.402,190.978,385.169,91.519,1,0.0301048,11.40518,0.0144266,0.0705262,0.0607161,0.0717146,-0.0857402,0.0362566,0.0510498,0.0803629
4412,2009,VISKASE COMPANIES INC,159.173,277.65,0.979,39.145,16.731,-38.355,96.301,1,0.0602593,162.5873,0.3468432,0.1409869,-0.1381415,0.0731134,-0.0357896,0.0385312,0.0508201,0.0854026
4415,2009,ENVIRONMENTAL TECTONICS CORP,36.733,51.729,0.285,6.6,6.453,-21.024,15.326,1,0.1247463,128.8877,0.2962748,0.127588,-0.4064258,0.0761049,-0.046924,0.0381852,0.0505101,0.0844442
4423,2009,EQUIFAX INC,416.8,3550.5,183.2,432.4,233.9,2175.5,-75.4,1,0.065878,2.275109,-0.0212364,0.1217857,0.6127306,0.0733741,-0.0887568,0.0360126,0.0516876,0.0840292
4430,2009,EQT CORP,695.166,5957.257,5,361.991,156.929,1680.918,82.492,1,0.0263425,139.0332,0.0138473,0.0607647,0.2821631,0.07154,-0.0435719,0.0362527,0.0513057,0.0796647
4439,2009,TELEFONAKTIEBOLAGET LM ERICS,25504.95,37718.64,296.93,3308.588,513.337,13808.09,13554.07,1,0.0136096,85.8955,0.3593468,0.0877176,0.3660812,0.0709494,-0.0611286,0.0386168,0.0514026,0.0815925
4448,2009,ESCALADE INC,52.936,127.238,27.644,2,1.657,70.107,9.688,1,0.0130228,1.914918,0.0761408,0.0157186,0.5509911,0.0709222,-0.0888758,0.0366789,0.0516162,0.0764428
4462,2009,NEWMARKET CORP,603.139,1025.192,33.881,262.288,162.283,457.91,405.087,1,0.1582952,17.80169,0.3951328,0.2558428,0.4466578,0.0776612,-0.0836268,0.0388616,0.0514957,0.0936176
4497,2009,DMC GLOBAL INC,87.974,225.176,15.568,16.238,8.549,85.388,45.839,1,0.0379659,5.65095,0.2035697,0.0721125,0.3792056,0.0720792,-0.0876414,0.0375509,0.0514178,0.0804764
4503,2009,EXXON MOBIL CORP,55235,233323,2476,26239,19280,271476,3174,1,0.0826322,22.30816,0.0136035,0.1124578,1.16352,0.0741513,-0.0821379,0.036251,0.0523239,0.0833621
4510,2009,FMC CORP,1487.7,3136.2,55.9,467.5,228.5,1437.7,778.5,1,0.0728589,26.61359,0.2482304,0.1490657,0.458421,0.0736979,-0.0807153,0.0378564,0.0515093,0.0859804
4517,2009,NEXTERA ENERGY INC,4337,48458,2589,2594,1615,7908,-2112,1,0.0333278,1.675164,-0.0435841,0.0535309,0.1631929,0.0718641,-0.088955,0.0358597,0.0511682,0.0791473
4579,2009,FARMER BROTHERS CO,186.546,330.017,17.09,-15.203,-33.27,182.88,110.089,1,-0.100813,10.91551,0.3335858,-0.0460673,0.5541533,0.0656414,-0.085902,0.0384405,0.0516199,0.0720236
4598,2009,FEDEX CORP,7284,24902,262,1962,1184,11526,2639,1,0.0475464,27.80153,0.1059754,0.0787889,0.4628544,0.0725237,-0.0803229,0.0368831,0.0515144,0.0809539
4599,2009,RUSSEL METALS INC,1153.2,1435.7,1.3,-100.1,-92,302.9,898.2,1,-0.0640802,887.0769,0.6256182,-0.0697221,0.2109772,0.0673454,0.2035818,0.0404387,0.0512234,0.0703317
4607,2009,FEDERAL SCREW WORKS,18.226,53.65,0.642,-8.636,-15.396,7.865,7.586,1,-0.2869711,28.38941,0.1413979,-0.1609692,0.1465983,0.0570056,-0.0801286,0.0371254,0.051149,0.0638053
4608,2009,FEDERAL SIGNAL CORP,279.4,744.9,41.9,35.1,23.1,201.1,113,1,0.0310109,6.668257,0.1516982,0.0471204,0.2699691,0.0717566,-0.0873053,0.0371959,0.0512916,0.0786888
4611,2009,MACY'S INC,6882,21300,242,1438,350,1521,2428,1,0.0164319,28.43802,0.1139906,0.0675117,0.0714085,0.0710803,-0.0801126,0.0369379,0.0510622,0.0801473
4622,2009,FERRO CORP,651.872,1526.355,24.737,46.613,-42.916,296.981,330.923,1,-0.0281167,26.3521,0.2168061,0.0305388,0.1945688,0.0690137,-0.0808017,0.0376414,0.0512045,0.0775028
4632,2009,CALADRIUS BIOSCIENCES INC,31.799,106.035,11.992,-17.537,-25.273,-70.947,6.305,1,-0.2383458,2.651685,0.0594615,-0.1653888,-0.6690903,0.0592613,-0.0886324,0.0365648,0.0502067,0.0634892
4669,2009,FINNING INTERNATIONAL INC,2083.661,3671.435,193.593,244.534,130.823,925.125,1138.679,1,0.0356327,10.7631,0.3101455,0.0666045,0.2519791,0.071971,-0.0859523,0.0382801,0.0512708,0.0800824
4759,2009,FLANIGANS ENTERPRISES INC,8.527,33.479,2.267,2.447,1.389,13.777,2.087,1,0.0414887,3.761359,0.0623376,0.0730906,0.4115117,0.0722427,-0.0882657,0.0365845,0.0514551,0.0805463
4763,2009,MAGELLAN AEROSPACE CORP,295.155,680.618,142.911,37.823,25.985,17.69,16.871,1,0.0381785,2.065306,0.0247878,0.0555716,0.0259911,0.0720891,-0.0888261,0.0363275,0.0510097,0.0792933
4771,2009,FLEXSTEEL INDUSTRIES INC,114.713,150.971,10,0.284,-1.509,96.053,78.416,1,-0.0099953,11.4713,0.519411,0.0018812,0.6362348,0.0698544,-0.0857184,0.039712,0.0517147,0.0754531
4798,2009,FLORIDA POWER & LIGHT CO,1961,26812,860,1581,831,2670,-1461,1,0.0309936,2.280233,-0.0544905,0.0589661,0.0995823,0.0717558,-0.0887551,0.0357851,0.0510947,0.0795361
4799,2009,DUKE ENERGY FLORIDA INC,1417,13100,521,802,462,2746,-197,1,0.0352672,2.71977,-0.0150382,0.0612214,0.2096183,0.071954,-0.0886099,0.036055,0.0512218,0.0796974
4809,2009,FLOWERS FOODS INC,338.955,1351.442,25.763,203.32,130.297,372.852,117.183,1,0.0964133,13.15666,0.0867096,0.1504467,0.275892,0.0747906,-0.0851615,0.0367512,0.0512984,0.0860792
4818,2009,FLUOR CORP,5122.088,7178.483,109.789,1167.616,684.889,2621.441,1820.69,1,0.0954086,46.65393,0.2536316,0.162655,0.3651803,0.074744,-0.074094,0.0378934,0.0514016,0.0869524
4826,2009,FONAR CORP,18.288,28.359,0.357,-0.704,1.121,-174.28,-10.838,1,0.0395289,51.22689,-0.3821715,-0.0248246,-6.145492,0.0721518,-0.0725831,0.0335429,0.0438797,0.073543
4860,2009,FOSTER (LB) CO,290.092,333.168,5.406,27.081,15.727,212.395,210.332,1,0.0472044,53.66112,0.6313092,0.0812833,0.6375012,0.0725078,-0.0717788,0.0404777,0.0517162,0.0811323
4881,2009,FRANKLIN ELECTRIC CO INC,311.593,718.298,0.735,54.51,25.986,266.727,228.45,1,0.0361772,423.936,0.3180435,0.0758877,0.371332,0.0719963,0.05056,0.0383341,0.0514087,0.0807464
4900,2009,FREQUENCY ELECTRONICS INC,60.64,81.42,0.246,1.751,2.749,9.29,53.332,1,0.0337632,246.5041,0.6550233,0.0215058,0.1140997,0.0718843,-0.0080635,0.0406399,0.0511115,0.0768567
4903,2009,FRIEDMAN INDUSTRIES INC,48.703,65.032,0.014,1.085,0.652,24.856,41.127,1,0.0100258,3478.786,0.6324117,0.0166841,0.3822119,0.0707831,1.059882,0.0404852,0.0514212,0.0765119
4925,2009,FUJIFILM HLDGS CORP,15102.24,30272.25,1663.586,1088.104,-411.574,18394.8,8025.353,1,-0.0135958,9.078122,0.265106,0.0359439,0.6076456,0.0696873,-0.0865091,0.0379719,0.0516817,0.0778894
4926,2009,FULLER (H. B.) CO,473.656,1100.445,51.315,111.861,83.654,530.387,237.648,1,0.0760183,9.230362,0.2159563,0.1016507,0.4819751,0.0738445,-0.0864588,0.0376356,0.0515365,0.0825891
5018,2009,AEROJET ROCKETDYNE HOLDINGS,372.6,935.7,17.8,79.9,59.3,-511.7,111.2,1,0.063375,20.93258,0.1188415,0.0853906,-0.5468633,0.073258,-0.0825924,0.0369711,0.0503479,0.0814261
5043,2009,GENERAL DATACOMM INDUSTRIES,3.101,6.41,22.163,-2.411,-5.568,-240.051,-38.199,1,-0.8686427,0.1399179,-5.959283,-0.3761311,-37.44946,0.0300223,-0.0894623,-0.0046184,0.0077137,0.0484159
5046,2009,GENERAL DYNAMICS CORP,13249,31077,705,3675,2394,13886,2878,1,0.0770345,18.79291,0.0926087,0.1182547,0.4468256,0.0738916,-0.0832993,0.0367916,0.0514959,0.0837767
5071,2009,GENERAL MILLS INC,3480,17678.9,1157.4,2686.5,1530.5,6635.5,-289.1,1,0.0865721,3.006739,-0.0163528,0.1519608,0.3753344,0.0743341,-0.0885151,0.036046,0.0514133,0.0861875
5073,2009,GENERAL MOTORS CO,59247,136295,10221,-12193,104821,-2806,6812,1,0.7690744,5.796595,0.0499798,-0.0894604,-0.0205877,0.1059949,-0.0875933,0.0364999,0.0509559,0.0689199
5087,2009,SPX CORP,2312.5,5724.4,150.4,438.2,31.7,1989.4,653.2,1,0.0055377,15.37567,0.114108,0.0765495,0.3475299,0.0705749,-0.0844284,0.0369387,0.0513812,0.0807937
5135,2009,GEORGIA POWER,2612.263,24294.57,577.84,1530.072,831.426,2912.102,-101.427,1,0.0342227,4.520737,-0.0041749,0.06298,0.1198664,0.0719056,-0.0880148,0.0361294,0.0511182,0.0798232
5165,2009,GIGA-TRONICS INC,13.592,13.919,0.057,1.318,1.3,-5.036,8.683,1,0.0933975,238.4561,0.6238235,0.0946907,-0.3618076,0.0746507,-0.0107226,0.0404264,0.0505617,0.0820913
5179,2009,GLATFELTER CORP,520.056,1190.294,17.647,53.875,123.442,591.88,333.946,1,0.1037072,29.46994,0.2805576,0.0452619,0.4972553,0.0751289,-0.0797716,0.0380776,0.0515542,0.0785559
5180,2009,GLAXOSMITHKLINE PLC,28405.42,69294.99,2378.166,13421.84,8941.968,23676.57,8814.248,1,0.129042,11.94425,0.1271989,0.1936914,0.341678,0.0763042,-0.0855621,0.0370283,0.0513744,0.0891723
5202,2009,WESTERN SIERRA RESOURCE CORP,0.077,20.872,0.132,-0.185,-0.185,-5.746,-0.096,1,-0.0088635,0.5833333,-0.0045995,-0.0088635,-0.275297,0.0699069,-0.0893157,0.0361265,0.0506616,0.0746846
5234,2009,GOODYEAR TIRE & RUBBER CO,7225,14410,338,248,-375,-2290,3130,1,-0.0260236,21.37574,0.2172103,0.0172103,-0.1589174,0.0691108,-0.0824459,0.0376442,0.0507961,0.0765495
5237,2009,GORMAN-RUPP CO,131.4,249.424,15,26.393,18.269,171.805,88.225,1,0.0732448,8.759999,0.353715,0.1058158,0.688807,0.0737158,-0.0866142,0.0385782,0.0517755,0.082887
5252,2009,GRACO INC,188.993,476.434,12.028,79.967,48.967,-40.606,85.178,1,0.1027781,15.71275,0.1787824,0.1678449,-0.085229,0.0750858,-0.084317,0.0373812,0.0508812,0.0873236
5254,2009,GRAHAM CORP,91.672,108.979,0.066,10.138,6.361,55.153,56.704,1,0.058369,1388.97,0.5203204,0.0930271,0.5060883,0.0730257,0.3694071,0.0397182,0.0515644,0.0819723
5256,2009,GRAINGER (W W) INC,2131.515,3726.332,87.908,674.224,430.466,3978.882,1354.716,1,0.11552,24.24711,0.3635521,0.180935,1.067774,0.0756769,-0.0814972,0.0386455,0.0522133,0.0882599
5284,2009,GRAY TELEVISION INC,86.784,1245.739,8.08,35.801,-23.047,-313.012,11.712,1,-0.0185007,10.74059,0.0094016,0.0287388,-0.2512661,0.0694598,-0.0859598,0.0362223,0.0506894,0.0773741
5288,2009,GRAYBAR ELECTRIC CO INC,1078.239,1431.953,51.3,69.712,37.277,321.321,424.993,1,0.0260323,21.0183,0.2967926,0.0486832,0.2243935,0.0715256,-0.082564,0.0381887,0.0512389,0.0788006
5327,2009,PHOENIX FOOTWEAR GROUP INC,13.633,14.702,2.956,-5.69,-6.991,-39.032,3.808,1,-0.4755135,4.611976,0.2590124,-0.3870222,-2.654877,0.0482593,-0.0879847,0.0379302,0.0479124,0.0476369
5336,2009,ALSERES PHARMACEUTICALS INC,0.388,0.791,1.35,-8.326,-10.777,-194.678,-4.536,1,-13.62453,0.2874074,-5.734513,-10.52592,-246.1163,-0.5617144,-0.0894135,-0.0030804,-0.2333627,-0.6775442
5338,2009,GREIF INC  -CL A,833.761,2812.51,54.584,278.259,132.433,1111.346,271.664,1,0.0470871,15.27482,0.0965913,0.0989362,0.3951438,0.0725024,-0.0844617,0.0368189,0.0514362,0.0823949
5385,2009,GULF POWER CO,443.34,3293.607,230.331,188.662,117.436,216.655,-27.718,1,0.0356557,1.924795,-0.0084157,0.0572813,0.0657805,0.0719721,-0.0888725,0.0361003,0.0510557,0.0794156
5439,2009,HALLIBURTON CO,8638,16538,750,2077,1145,10650,5749,1,0.0692345,11.51733,0.3476236,0.1255895,0.6439714,0.0735298,-0.0857031,0.0385365,0.0517237,0.0843013
5479,2009,AMEXDRUG CORP,0.75,0.798,0.313,0.056,0.018,-0.019,0.016,1,0.0225564,2.396166,0.0200501,0.0701754,-0.0238095,0.0713644,-0.0887168,0.0362951,0.0509522,0.0803378
5492,2009,L3HARRIS TECHNOLOGIES INC,1859.4,4465.1,106.4,835.7,37.9,1271.4,749.7,1,0.0084881,17.47556,0.1679022,0.1871627,0.2847417,0.0707118,-0.0837345,0.0373068,0.0513086,0.0887053
5496,2009,HARSCO CORP,1169.338,3639.24,83.193,226.217,118.777,1931.613,418.236,1,0.0326379,14.05573,0.114924,0.0621605,0.5307738,0.0718321,-0.0848645,0.0369443,0.0515929,0.0797646
5518,2009,HASBRO INC,2045.032,3896.892,14.113,595.798,374.93,2779.18,1229.144,1,0.0962126,144.9041,0.3154165,0.1528905,0.7131786,0.0747813,-0.0416321,0.0383162,0.0518036,0.086254
5520,2009,ALLIED MOTION TECHNOLOGIES,21.158,34.753,0.6,-1.724,-12.449,6.441,14.021,1,-0.3582137,35.26333,0.4034472,-0.0496072,0.1853365,0.0537007,-0.0778575,0.0389185,0.0511938,0.0717704
5523,2009,HAVERTY FURNITURE,168.301,360.933,0.357,-4.793,-4.179,228.268,96.856,1,-0.0115783,471.4314,0.268349,-0.0132795,0.6324387,0.0697809,0.0662525,0.0379941,0.0517103,0.0743687
5559,2009,STERLING CONSTRUCTION CO INC,189.188,385.741,0.073,39.398,23.704,32.708,113.878,1,0.0614506,2591.616,0.2952188,0.1021359,0.0847926,0.0731687,0.7667617,0.038178,0.0510776,0.0826238
